country,year,sex,age,people
Ethiopia,1980,1,25,1205.043
Ethiopia,1980,1,30,1113.139
Ethiopia,1980,1,35,941.71
Ethiopia,1980,1,40,770.133
Ethiopia,1980,1,45,646.522
Ethiopia,1980,1,50,510.38
Ethiopia,1980,1,55,431.896
Ethiopia,1980,1,60,320.235
Ethiopia,1980,1,65,241.623
Ethiopia,1980,1,70,151.085
Ethiopia,1980,1,75,91.3
Ethiopia,1980,1,80,38.718
Ethiopia,1980,1,85,0.0
Ethiopia,1980,1,90,0.0
Ethiopia,1980,1,95,0.0
Ethiopia,1980,1,100,0.0
Ethiopia,1985,1,0,3896.48
Ethiopia,1985,1,5,3039.365
Ethiopia,1985,1,10,2550.31
Ethiopia,1985,1,15,2004.998
Ethiopia,1985,1,20,1628.711
Ethiopia,1985,1,25,1345.703
Ethiopia,1985,1,30,1163.004
Ethiopia,1985,1,35,1064.818
Ethiopia,1985,1,40,891.513
Ethiopia,1985,1,45,720.962
Ethiopia,1985,1,50,593.779
Ethiopia,1985,1,55,458.274
Ethiopia,1985,1,60,369.446
Ethiopia,1985,1,65,256.934
Ethiopia,1985,1,70,172.32
Ethiopia,1985,1,75,90.415
Ethiopia,1985,1,80,51.405
Ethiopia,1985,1,85,0.0
Ethiopia,1985,1,90,0.0
Ethiopia,1985,1,95,0.0
Ethiopia,1985,1,100,0.0
Ethiopia,1990,1,0,4609.238
Ethiopia,1990,1,5,3638.109
Ethiopia,1990,1,10,2956.423
Ethiopia,1990,1,15,2494.663
Ethiopia,1990,1,20,1954.454
Ethiopia,1990,1,25,1596.473
Ethiopia,1990,1,30,1323.169
Ethiopia,1990,1,35,1139.868
Ethiopia,1990,1,40,1017.235
Ethiopia,1990,1,45,845.223
Ethiopia,1990,1,50,675.046
Ethiopia,1990,1,55,561.908
Ethiopia,1990,1,60,406.811
Ethiopia,1990,1,65,316.431
Ethiopia,1990,1,70,224.072
Ethiopia,1990,1,75,136.373
Ethiopia,1990,1,80,54.572
Ethiopia,1990,1,85,13.509
Ethiopia,1990,1,90,1.926
Ethiopia,1990,1,95,0.137
Ethiopia,1990,1,100,0.007
Ethiopia,1995,1,0,5360.899
Ethiopia,1995,1,5,4384.009
Ethiopia,1995,1,10,3728.527
Ethiopia,1995,1,15,2919.833
Ethiopia,1995,1,20,2449.011
Ethiopia,1995,1,25,1902.598
Ethiopia,1995,1,30,1532.514
Ethiopia,1995,1,35,1310.806
Ethiopia,1995,1,40,1127.147
Ethiopia,1995,1,45,968.794
Ethiopia,1995,1,50,800.63
Ethiopia,1995,1,55,629.268
Ethiopia,1995,1,60,536.519
Ethiopia,1995,1,65,337.334
Ethiopia,1995,1,70,257.721
Ethiopia,1995,1,75,182.981
